STAR version=2.7.10b
STAR compilation time,server,dir=2023-05-25T06:56:23+0000 :/opt/conda/conda-bld/star_1684997536154/work/source
##### Command Line:
/work/ugbogu/.conda/envs/rnaseq-star/bin/STAR-avx2 --runMode genomeGenerate --genomeDir /work/ugbogu/pipeline/data/reference/star_gencode_v44 --genomeFastaFiles /work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa --sjdbGTFfile /work/ugbogu/pipeline/data/reference/gencode_v44/gencode.v44.basic.annotation.gtf --sjdbOverhang 100 --runThreadN 12
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     /work/ugbogu/pipeline/data/reference/star_gencode_v44     ~RE-DEFINED
genomeFastaFiles              /work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /work/ugbogu/pipeline/data/reference/gencode_v44/gencode.v44.basic.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  100     ~RE-DEFINED
runThreadN                    12     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 0  "chr1" chrStart: 0
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 1  "chr2" chrStart: 249036800
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 2  "chr3" chrStart: 491257856
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 3  "chr4" chrStart: 689700864
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 4  "chr5" chrStart: 880017408
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 5  "chr6" chrStart: 1061683200
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 6  "chr7" chrStart: 1232601088
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 7  "chr8" chrStart: 1391984640
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 8  "chr9" chrStart: 1537212416
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 9  "chr10" chrStart: 1675624448
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 10  "chr11" chrStart: 1809580032
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 11  "chr12" chrStart: 1944846336
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 12  "chr13" chrStart: 2078277632
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 13  "chr14" chrStart: 2192834560
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 14  "chr15" chrStart: 2300051456
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 15  "chr16" chrStart: 2402287616
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 16  "chr17" chrStart: 2492727296
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 17  "chr18" chrStart: 2576089088
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 18  "chr19" chrStart: 2656567296
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 19  "chr20" chrStart: 2715287552
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 20  "chr21" chrStart: 2779774976
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 21  "chr22" chrStart: 2826698752
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 22  "chrX" chrStart: 2877554688
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 23  "chrY" chrStart: 3033792512
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 24  "chrM" chrStart: 3091202048
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 25  "GL000008.2" chrStart: 3091464192
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 26  "GL000009.2" chrStart: 3091726336
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 27  "GL000194.1" chrStart: 3091988480
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 28  "GL000195.1" chrStart: 3092250624
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 29  "GL000205.2" chrStart: 3092512768
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 30  "GL000208.1" chrStart: 3092774912
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 31  "GL000213.1" chrStart: 3093037056
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 32  "GL000214.1" chrStart: 3093299200
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 33  "GL000216.2" chrStart: 3093561344
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 34  "GL000218.1" chrStart: 3093823488
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 35  "GL000219.1" chrStart: 3094085632
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 36  "GL000220.1" chrStart: 3094347776
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 37  "GL000221.1" chrStart: 3094609920
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 38  "GL000224.1" chrStart: 3094872064
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 39  "GL000225.1" chrStart: 3095134208
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 40  "GL000226.1" chrStart: 3095396352
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 41  "KI270302.1" chrStart: 3095658496
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 42  "KI270303.1" chrStart: 3095920640
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 43  "KI270304.1" chrStart: 3096182784
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 44  "KI270305.1" chrStart: 3096444928
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 45  "KI270310.1" chrStart: 3096707072
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 46  "KI270311.1" chrStart: 3096969216
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 47  "KI270312.1" chrStart: 3097231360
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 48  "KI270315.1" chrStart: 3097493504
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 49  "KI270316.1" chrStart: 3097755648
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 50  "KI270317.1" chrStart: 3098017792
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 51  "KI270320.1" chrStart: 3098279936
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 52  "KI270322.1" chrStart: 3098542080
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 53  "KI270329.1" chrStart: 3098804224
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 54  "KI270330.1" chrStart: 3099066368
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 55  "KI270333.1" chrStart: 3099328512
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 56  "KI270334.1" chrStart: 3099590656
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 57  "KI270335.1" chrStart: 3099852800
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 58  "KI270336.1" chrStart: 3100114944
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 59  "KI270337.1" chrStart: 3100377088
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 60  "KI270338.1" chrStart: 3100639232
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 61  "KI270340.1" chrStart: 3100901376
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 62  "KI270362.1" chrStart: 3101163520
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 63  "KI270363.1" chrStart: 3101425664
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 64  "KI270364.1" chrStart: 3101687808
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 65  "KI270366.1" chrStart: 3101949952
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 66  "KI270371.1" chrStart: 3102212096
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 67  "KI270372.1" chrStart: 3102474240
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 68  "KI270373.1" chrStart: 3102736384
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 69  "KI270374.1" chrStart: 3102998528
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 70  "KI270375.1" chrStart: 3103260672
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 71  "KI270376.1" chrStart: 3103522816
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 72  "KI270378.1" chrStart: 3103784960
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 73  "KI270379.1" chrStart: 3104047104
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 74  "KI270381.1" chrStart: 3104309248
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 75  "KI270382.1" chrStart: 3104571392
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 76  "KI270383.1" chrStart: 3104833536
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 77  "KI270384.1" chrStart: 3105095680
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 78  "KI270385.1" chrStart: 3105357824
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 79  "KI270386.1" chrStart: 3105619968
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 80  "KI270387.1" chrStart: 3105882112
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 81  "KI270388.1" chrStart: 3106144256
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 82  "KI270389.1" chrStart: 3106406400
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 83  "KI270390.1" chrStart: 3106668544
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 84  "KI270391.1" chrStart: 3106930688
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 85  "KI270392.1" chrStart: 3107192832
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 86  "KI270393.1" chrStart: 3107454976
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 87  "KI270394.1" chrStart: 3107717120
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 88  "KI270395.1" chrStart: 3107979264
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 89  "KI270396.1" chrStart: 3108241408
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 90  "KI270411.1" chrStart: 3108503552
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 91  "KI270412.1" chrStart: 3108765696
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 92  "KI270414.1" chrStart: 3109027840
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 93  "KI270417.1" chrStart: 3109289984
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 94  "KI270418.1" chrStart: 3109552128
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 95  "KI270419.1" chrStart: 3109814272
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 96  "KI270420.1" chrStart: 3110076416
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 97  "KI270422.1" chrStart: 3110338560
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 98  "KI270423.1" chrStart: 3110600704
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 99  "KI270424.1" chrStart: 3110862848
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 100  "KI270425.1" chrStart: 3111124992
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 101  "KI270429.1" chrStart: 3111387136
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 102  "KI270435.1" chrStart: 3111649280
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 103  "KI270438.1" chrStart: 3111911424
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 104  "KI270442.1" chrStart: 3112173568
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 105  "KI270448.1" chrStart: 3112697856
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 106  "KI270465.1" chrStart: 3112960000
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 107  "KI270466.1" chrStart: 3113222144
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 108  "KI270467.1" chrStart: 3113484288
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 109  "KI270468.1" chrStart: 3113746432
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 110  "KI270507.1" chrStart: 3114008576
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 111  "KI270508.1" chrStart: 3114270720
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 112  "KI270509.1" chrStart: 3114532864
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 113  "KI270510.1" chrStart: 3114795008
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 114  "KI270511.1" chrStart: 3115057152
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 115  "KI270512.1" chrStart: 3115319296
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 116  "KI270515.1" chrStart: 3115581440
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 117  "KI270516.1" chrStart: 3115843584
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 118  "KI270517.1" chrStart: 3116105728
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 119  "KI270518.1" chrStart: 3116367872
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 120  "KI270519.1" chrStart: 3116630016
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 121  "KI270521.1" chrStart: 3116892160
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 122  "KI270522.1" chrStart: 3117154304
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 123  "KI270528.1" chrStart: 3117416448
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 124  "KI270529.1" chrStart: 3117678592
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 125  "KI270530.1" chrStart: 3117940736
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 126  "KI270538.1" chrStart: 3118202880
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 127  "KI270539.1" chrStart: 3118465024
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 128  "KI270544.1" chrStart: 3118727168
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 129  "KI270548.1" chrStart: 3118989312
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 130  "KI270579.1" chrStart: 3119251456
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 131  "KI270580.1" chrStart: 3119513600
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 132  "KI270581.1" chrStart: 3119775744
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 133  "KI270582.1" chrStart: 3120037888
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 134  "KI270583.1" chrStart: 3120300032
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 135  "KI270584.1" chrStart: 3120562176
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 136  "KI270587.1" chrStart: 3120824320
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 137  "KI270588.1" chrStart: 3121086464
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 138  "KI270589.1" chrStart: 3121348608
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 139  "KI270590.1" chrStart: 3121610752
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 140  "KI270591.1" chrStart: 3121872896
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 141  "KI270593.1" chrStart: 3122135040
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 142  "KI270706.1" chrStart: 3122397184
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 143  "KI270707.1" chrStart: 3122659328
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 144  "KI270708.1" chrStart: 3122921472
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 145  "KI270709.1" chrStart: 3123183616
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 146  "KI270710.1" chrStart: 3123445760
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 147  "KI270711.1" chrStart: 3123707904
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 148  "KI270712.1" chrStart: 3123970048
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 149  "KI270713.1" chrStart: 3124232192
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 150  "KI270714.1" chrStart: 3124494336
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 151  "KI270715.1" chrStart: 3124756480
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 152  "KI270716.1" chrStart: 3125018624
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 153  "KI270717.1" chrStart: 3125280768
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 154  "KI270718.1" chrStart: 3125542912
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 155  "KI270719.1" chrStart: 3125805056
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 156  "KI270720.1" chrStart: 3126067200
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 157  "KI270721.1" chrStart: 3126329344
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 158  "KI270722.1" chrStart: 3126591488
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 159  "KI270723.1" chrStart: 3126853632
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 160  "KI270724.1" chrStart: 3127115776
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 161  "KI270725.1" chrStart: 3127377920
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 162  "KI270726.1" chrStart: 3127640064
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 163  "KI270727.1" chrStart: 3127902208
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 164  "KI270728.1" chrStart: 3128426496
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 165  "KI270729.1" chrStart: 3130523648
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 166  "KI270730.1" chrStart: 3131047936
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 167  "KI270731.1" chrStart: 3131310080
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 168  "KI270732.1" chrStart: 3131572224
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 169  "KI270733.1" chrStart: 3131834368
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 170  "KI270734.1" chrStart: 3132096512
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 171  "KI270735.1" chrStart: 3132358656
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 172  "KI270736.1" chrStart: 3132620800
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 173  "KI270737.1" chrStart: 3132882944
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 174  "KI270738.1" chrStart: 3133145088
/work/ugbogu/pipeline/data/reference/gencode_v44/GRCh38.primary_assembly.genome.fa : chr # 175  "KI270739.1" chrStart: 3133407232
